2023-08-14 02:55:22,271 - INFO: Epoch:6/200 || Epochiter: 17/18 || Iter: 107/3600 || Loc: 0.6677 Cla: 1.3845 Landm: 2.8080 || LR: 0.00100000 || Batchtime: 0.1259 s || ETA: 0:07:19
2023-08-14 02:55:22,415 - INFO: Epoch:6/200 || Epochiter: 18/18 || Iter: 108/3600 || Loc: 1.1801 Cla: 1.3237 Landm: 4.2741 || LR: 0.00100000 || Batchtime: 0.1379 s || ETA: 0:08:01
2023-08-14 02:55:23,274 - INFO: Epoch:7/200 || Epochiter: 1/18 || Iter: 109/3600 || Loc: 0.7058 Cla: 1.2272 Landm: 2.6162 || LR: 0.00100000 || Batchtime: 0.5686 s || ETA: 0:33:05
2023-08-14 02:55:23,413 - INFO: Epoch:7/200 || Epochiter: 2/18 || Iter: 110/3600 || Loc: 0.9966 Cla: 1.3100 Landm: 4.0620 || LR: 0.00100000 || Batchtime: 0.1116 s || ETA: 0:06:29
2023-08-14 02:55:23,570 - INFO: Epoch:7/200 || Epochiter: 3/18 || Iter: 111/3600 || Loc: 0.6102 Cla: 1.1235 Landm: 2.8925 || LR: 0.00100000 || Batchtime: 0.1324 s || ETA: 0:07:42
2023-08-14 02:55:23,716 - INFO: Epoch:7/200 || Epochiter: 4/18 || Iter: 112/3600 || Loc: 0.5261 Cla: 1.1335 Landm: 2.8357 || LR: 0.00100000 || Batchtime: 0.1236 s || ETA: 0:07:11
2023-08-14 02:55:23,938 - INFO: Epoch:7/200 || Epochiter: 5/18 || Iter: 113/3600 || Loc: 0.9316 Cla: 1.2129 Landm: 4.1226 || LR: 0.00100000 || Batchtime: 0.1865 s || ETA: 0:10:50
2023-08-14 02:55:24,086 - INFO: Epoch:7/200 || Epochiter: 6/18 || Iter: 114/3600 || Loc: 0.5927 Cla: 0.9914 Landm: 2.3209 || LR: 0.00100000 || Batchtime: 0.1251 s || ETA: 0:07:16
2023-08-14 02:55:24,234 - INFO: Epoch:7/200 || Epochiter: 7/18 || Iter: 115/3600 || Loc: 0.5561 Cla: 1.2425 Landm: 2.3625 || LR: 0.00100000 || Batchtime: 0.1162 s || ETA: 0:06:45
2023-08-14 02:55:24,381 - INFO: Epoch:7/200 || Epochiter: 8/18 || Iter: 116/3600 || Loc: 0.5238 Cla: 1.0994 Landm: 2.9335 || LR: 0.00100000 || Batchtime: 0.1308 s || ETA: 0:07:35
